ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001596,HY191261,03/19/2015 10:23:00 PM,055XX W CORTEZ ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1524,015,37,25,18,1139109,1906451,2015,02/10/2018 03:50:01 PM,41.899417418,-87.764502494,"(41.899417418, -87.764502494)"
10001597,HY191111,03/04/2015 09:01:00 PM,017XX E 84TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0412,004,8,45,26,1189206,1849626,2015,02/10/2018 03:50:01 PM,41.742427443,-87.582323012,"(41.742427443, -87.582323012)"
10001598,HY191088,03/19/2015 05:54:00 PM,124XX S STATE ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,0523,005,9,53,03,1178508,1822636,2015,02/10/2018 03:50:01 PM,41.66861269,-87.622336658,"(41.66861269, -87.622336658)"
10001599,HY191104,03/09/2015 10:30:00 PM,044XX S TALMAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0922,009,12,58,06,1159443,1875104,2015,02/10/2018 03:50:01 PM,41.813003731,-87.69067732,"(41.813003731, -87.69067732)"
10001600,HY191082,03/19/2015 07:25:00 PM,024XX W 63RD ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CONVENIENCE STORE,false,false,0825,008,15,66,10,1161230,1862815,2015,02/10/2018 03:50:01 PM,41.779244263,-87.684462764,"(41.779244263, -87.684462764)"
10001602,HY190855,03/19/2015 03:15:00 PM,004XX E 83RD ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0632,006,6,44,05,1180885,1850070,2015,02/10/2018 03:50:01 PM,41.743841062,-87.612797254,"(41.743841062, -87.612797254)"
10001603,HY191241,03/19/2015 09:35:00 PM,010XX W WILSON AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,true,false,1914,019,46,3,10,1168668,1930721,2015,02/10/2018 03:50:01 PM,41.965426344,-87.655227542,"(41.965426344, -87.655227542)"
10001604,HY188807,03/17/2015 11:50:00 PM,041XX N BROADWAY,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1915,019,46,3,08B,1169364,1928024,2015,02/10/2018 03:50:01 PM,41.958010544,-87.652747282,"(41.958010544, -87.652747282)"
10001605,HY191255,03/19/2015 10:19:00 PM,040XX W LAWRENCE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESTAURANT,false,false,1712,017,39,14,04A,1148401,1931589,2015,02/10/2018 03:50:01 PM,41.968224159,-87.729722663,"(41.968224159, -87.729722663)"
10001606,HY190012,03/18/2015 09:20:00 PM,030XX N WOLCOTT AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1931,019,32,5,08B,1163149,1920046,2015,02/10/2018 03:50:01 PM,41.936251666,-87.675820732,"(41.936251666, -87.675820732)"
